분류번호,분류,사규명,소관부서,시행일,경과연수,조문수,부칙수,장편제,제1조목적,보칙장,다른사규와의관계,부칙일자전부,인용수,피인용수,이사회결의대상
8-9,IT·정보보호,물리보안지침,IT운영부 정보보호팀,2026-01-01,0.7,16,3,N,Y,N,N,일부,2,3,
8-10,IT·정보보호,그룹 IT 협력 지침,IT운영부,2022-07-28,4.1,4,3,N,Y,N,N,Y,0,1,
8-11,IT·정보보호,개인정보보호 내부 관리계획,IT운영부 정보보호팀,2026-08-14,0.1,47,0,Y,Y,N,N,N,5,4,
8-12,IT·정보보호,AI업무규정,DT개발부,2025-10-01,0.9,14,1,Y,Y,N,N,Y,1,2,
8-13,IT·정보보호,AI위험관리 지침,DT개발부,2026-02-10,0.6,16,1,Y,Y,N,N,Y,1,0,
9-1,본업(신용정보),신용정보업무 규정,IT운영부 정보보호팀,2025-04-01,1.4,35,13,Y,Y,N,N,일부,5,0,
9-2,본업(신용정보),채권추심업무 처리 지침,영업추진부,2016-11-07,9.8,28,8,Y,Y,N,N,일부,0,1,
9-3,본업(신용정보),공인전자문서센터 운영 규정,전자문서사업부,2026-06-01,0.3,83,8,Y,Y,N,N,일부,6,1,
9-4,본업(신용정보),전자화문서관리 규정,전자문서사업부,2022-10-14,3.9,26,1,Y,Y,N,N,Y,1,1,
9-5,본업(신용정보),임대차조사업무 처리 지침,신사업추진부,2024-06-11,2.2,19,13,Y,Y,N,N,일부,3,1,
9-6,본업(신용정보),주민등록정보관리 지침,영업추진부,2025-01-10,1.6,5,5,N,Y,N,N,일부,0,1,
9-7,본업(신용정보),민원서류 발급업무 처리 지침,영업추진부,2022-07-27,4.1,20,6,Y,Y,Y,N,일부,2,0,
9-8,본업(신용정보),채권추심 내부기준,영업추진부,2025-04-23,1.4,28,2,Y,Y,N,N,일부,1,1,
10-1,홍보·사회공헌,브랜드관리 규정,경영전략부,2023-06-30,3.2,30,2,Y,Y,기타,N,일부,0,1,
10-2,홍보·사회공헌,기부금 운영 규정,경영전략부,2010-12-01,15.8,10,1,Y,Y,N,N,Y,2,1,
10-3,홍보·사회공헌,소셜미디어 사용 및 운영에 관한 지침,경영전략부,2023-06-30,3.2,15,3,Y,Y,기타,N,일부,0,1,
11-1,감사·내부통제,감사규정,감사부,2024-02-16,2.5,24,20,Y,Y,기타,N,일부,4,5,Y
11-2,감사·내부통제,사규관리규정,경영전략부,2026-08-12,0.1,23,17,Y,Y,Y,Y,일부,5,1,
11-3,감사·내부통제,그룹 내부거래 운영 규정,감사부,2023-08-09,3.1,14,2,Y,Y,N,N,일부,0,0,
11-4,감사·내부통제,내부통제규정,감사부,2023-08-09,3.1,29,5,Y,Y,N,N,일부,3,3,Y
11-5,감사·내부통제,소송업무 처리 규정,경영전략부,2013-05-10,13.3,22,3,Y,Y,N,N,일부,2,1,
11-6,감사·내부통제,볼커룰(Volcker Rule) 업무 규정,경영전략부,2015-07-21,11.1,10,1,Y,Y,기타,N,Y,0,1,
11-7,감사·내부통제,사고금 정리 규정,감사부,2023-06-27,3.2,17,10,N,Y,N,N,일부,1,4,
11-8,감사·내부통제,민원업무 처리 규정,감사부,2025-01-09,1.6,27,7,Y,Y,N,N,일부,0,1,
11-9,감사·내부통제,감사규정 시행지침,감사부,2023-08-09,3.1,13,12,Y,Y,N,N,일부,1,5,
11-10,감사·내부통제,자점검사업무 지침,감사부,2023-06-27,3.2,16,5,N,Y,N,N,일부,1,2,
11-11,감사·내부통제,부점장업무 인계인수 지침,감사부,2025-06-10,1.2,8,2,N,Y,N,N,일부,1,0,
11-12,감사·내부통제,업무위탁 운용에 관한 지침,감사부,2024-10-23,1.9,19,10,Y,Y,N,N,일부,1,1,
11-13,감사·내부통제,금융범죄 행위에 대한 고발 지침,감사부,2019-12-20,6.7,5,4,N,Y,N,N,일부,1,1,
11-14,감사·내부통제,직장 내 성희롱 예방 지침,경영전략부,2003-12-03,22.7,9,1,N,Y,N,N,Y,0,1,
11-15,감사·내부통제,올바른제보 제도 운영지침,감사부,2026-07-15,0.1,15,6,N,Y,N,N,일부,1,0,
11-16,감사·내부통제,이용자보호기준,감사부,2025-04-09,1.4,17,4,Y,Y,N,N,일부,2,1,
11-17,감사·내부통제,내부통제정책,감사부,2025-07-21,1.1,15,1,Y,Y,기타,N,Y,3,2,
